GEOMETRY_ID;Type d'établissement;LIBELLE;ADRESSE;ARR_LIBELLE;ARR_INSEE;geo_shape;geo_point_2d
1652;1800;CHAMPIONNET (72) MAT;72 rue CHAMPIONNET;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.344880362537594, 48.89589084627452]}";48.8958908463, 2.34488036254
1654;1800;FESSART (36) MAT;36 rue FESSART;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.384559163637532, 48.876863599506954]}";48.8768635995, 2.38455916364
1661;1800;LONGUES RAIES (29) MAT;29 RUE DES LONGUES RAIES;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.34765643046842, 48.82117990048936]}";48.8211799005, 2.34765643047
1666;1800;JACQUIER (23) MAT;23 rue JACQUIER;14ème Ardt;75114;"{""type"": ""Point"", ""coordinates"": [2.316997951968542, 48.829975084569206]}";48.8299750846, 2.31699795197
1681;1800;AMANDIERS (90) MAT;90 RUE DES AMANDIERS;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.389419931314372, 48.86696740956235]}";48.8669674096, 2.38941993131
1684;1800;BESSIERES (90) MAT;90 boulevard BESSIERES;17ème Ardt;75117;"{""type"": ""Point"", ""coordinates"": [2.319125846419884, 48.89665547906367]}";48.8966554791, 2.31912584642
1685;1800;OLIVIER METRA (29) MAT;29 rue OLIVIER METRA;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.393865537188629, 48.872976518901595]}";48.8729765189, 2.39386553719
1687;1800;GUSTAVE ZEDE (5) MAT;5 rue GUSTAVE ZEDE;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.272807371842802, 48.85573997084349]}";48.8557399708, 2.27280737184
1693;1800;MACDONALD (118) POLY;118 boulevard MacDonald;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.381345564306251, 48.8990883340111]}";48.899088334, 2.38134556431
1694;1800;PALESTINE (1) MAT;1 RUE DE PALESTINE;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.389457135399135, 48.87639576907183]}";48.8763957691, 2.3894571354
1698;1800;CHARLES BAUDELAIRE (16) MAT;16 rue CHARLES BAUDELAIRE;12ème Ardt;75112;"{""type"": ""Point"", ""coordinates"": [2.376926567145829, 48.849498990238146]}";48.8494989902, 2.37692656715
1700;1800;DUNOIS (71) MAT;71 rue DUNOIS;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.36614130134491, 48.833044187090586]}";48.8330441871, 2.36614130134
1703;1800;CUJAS (23) MAT;23 rue CUJAS;5ème Ardt;75105;"{""type"": ""Point"", ""coordinates"": [2.34190158411084, 48.84805003439589]}";48.8480500344, 2.34190158411
1704;1800;MADAME (40) MAT;40 rue MADAME;6ème Ardt;75106;"{""type"": ""Point"", ""coordinates"": [2.33161883372108, 48.84914349916847]}";48.8491434992, 2.33161883372
1712;1800;TANGER (41) MAT;41 RUE DE TANGER;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.370236413333939, 48.8877681355254]}";48.8877681355, 2.37023641333
1714;1800;POULLETIER (18) MAT;18 rue POULLETIER;4ème Ardt;75104;"{""type"": ""Point"", ""coordinates"": [2.358314138154766, 48.85147073876571]}";48.8514707388, 2.35831413815
1729;1800;CHAT.DES RENTIERS (31) MAT;31 RUE DU CHATEAU DES RENTIERS;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.370175975447339, 48.824314901126925]}";48.8243149011, 2.37017597545
1744;1800;MERLIN (14) MAT;14 rue MERLIN;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.385842601860674, 48.86000303083137]}";48.8600030308, 2.38584260186
1745;1800;VITRUVE (61) MAT;61 rue VITRUVE;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.407038949738641, 48.85951672953494]}";48.8595167295, 2.40703894974
1747;1800;ST ANGE (14) MAT;14 passage SAINT-ANGE;17ème Ardt;75117;"{""type"": ""Point"", ""coordinates"": [2.327431710137227, 48.89657309097432]}";48.896573091, 2.32743171014
1749;1800;POISSY (27) MAT;27 RUE DE POISSY;5ème Ardt;75105;"{""type"": ""Point"", ""coordinates"": [2.352277925623206, 48.848592941475545]}";48.8485929415, 2.35227792562
1753;1800;LOUIS BLANC (49) MAT;49 rue LOUIS BLANC;10ème Ardt;75110;"{""type"": ""Point"", ""coordinates"": [2.362793885403346, 48.882259668567244]}";48.8822596686, 2.3627938854
1761;1800;MARX DORMOY (53B) MAT;53 bis rue MARX DORMOY;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.359696212911274, 48.88837957607401]}";48.8883795761, 2.35969621291
1764;1800;MONT CENIS (77) MAT;77 RUE DU MONT CENIS;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.343964979878902, 48.892077011870946]}";48.8920770119, 2.34396497988
1768;1800;VARET (9) MAT;9 rue VARET;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.280942336340249, 48.83995425733326]}";48.8399542573, 2.28094233634
1770;1800;PIAT (36) MAT;36 rue PIAT;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.384822377565577, 48.87222675441253]}";48.8722267544, 2.38482237757
1771;1800;GENERAL BRUNET (9) MAT;9 RUE DU GENERAL BRUNET;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.390464622378095, 48.88040540822712]}";48.8804054082, 2.39046462238
1776;1800;EMILE ZOLA (35) MAT;35 avenue EMILE ZOLA;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.282425091627005, 48.84655839638385]}";48.8465583964, 2.28242509163
1795;1800;RAMPAL (5-7) MAT;5 rue RAMPAL;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.379682529928366, 48.87337245938426]}";48.8733724594, 2.37968252993
1799;1800;VIVIENNE (11) MAT;11 rue VIVIENNE;2ème Ardt;75102;"{""type"": ""Point"", ""coordinates"": [2.339500235318694, 48.86801045193383]}";48.8680104519, 2.33950023532
1800;1800;VERSAILLES (141) MAT;141 AVENUE DE VERSAILLES;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.268017433019282, 48.842120011553426]}";48.8421200116, 2.26801743302
1802;1800;JEANNE D'ARC (32) MAT;32 place JEANNE D'ARC;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.368098690031248, 48.830265128265175]}";48.8302651283, 2.36809869003
1810;1800;CHOISY (4 B) MAT;4 bis AVENUE DE CHOISY;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.364862727700058, 48.820640464088235]}";48.8206404641, 2.3648627277
1814;1800;PARC DES PRINCES (27) MAT;27 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.25475662275081, 48.84012367075239]}";48.8401236708, 2.25475662275
1828;1800;EMILE LEPEU (44) MAT;44 rue EMILE LEPEU;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.388225389477928, 48.85668326498525]}";48.856683265, 2.38822538948
1830;1800;BRANTOME (5) MAT;5 rue BRANTOME;3ème Ardt;75103;"{""type"": ""Point"", ""coordinates"": [2.35252173082218, 48.86177211849236]}";48.8617721185, 2.35252173082
1831;1800;CEPRE (13) MAT;13 rue CEPRE;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.303604368688898, 48.84662436704927]}";48.846624367, 2.30360436869
